Date,Time,Milliseconds,Treating Pressure,BH Pressure(meas)
2019-11-16,06:04:31,000,7159.259765625,10964.7802734375
2019-11-16,06:04:32,000,7164.66015625,10959.3896484375
2019-11-16,06:04:33,000,7179.64990234375,10965.599609375
2019-11-16,06:04:34,000,7151.35009765625,10978.080078125
2019-11-16,06:04:35,000,7166.16015625,10957.01953125
2019-11-16,06:04:36,000,7150.60009765625,10972.419921875
2019-11-16,06:04:37,000,7184.35986328125,10965.1103515625
2019-11-16,06:04:38,000,7130.5,10994
2019-11-16,06:04:39,000,7139.93994140625,10951.7900390625
2019-11-16,06:04:40,000,7134.7001953125,10962.83984375
2019-11-16,06:04:41,000,7177.14013671875,10964.830078125
2019-11-16,06:04:42,000,7168.47998046875,11001.919921875
2019-11-16,06:04:43,000,7154.64990234375,10990.66015625
2019-11-16,06:04:44,000,7174.16015625,10979.7900390625
2019-11-16,06:04:45,000,7178.27001953125,10999.3798828125
2019-11-16,06:04:46,000,7183.31005859375,11005.4296875
2019-11-16,06:04:47,000,7130.9599609375,11005.3701171875
2019-11-16,06:04:48,000,7147.56005859375,10962.900390625
2019-11-16,06:04:49,000,7142.330078125,10982.8203125
2019-11-16,06:04:50,000,7165.22021484375,10982.150390625
2019-11-16,06:04:51,000,7130.31005859375,10996.5
2019-11-16,06:04:52,000,7139.97998046875,10964.4697265625
2019-11-16,06:04:53,000,7158.27001953125,10974.490234375
2019-11-16,06:04:54,000,7166.830078125,10990.9404296875
2019-11-16,06:04:55,000,7140.2001953125,10993.4599609375
2019-11-16,06:04:56,000,7117.740234375,10966.8203125
2019-11-16,06:04:57,000,7140.02001953125,10950.2900390625
2019-11-16,06:04:58,000,7153.4599609375,10972.830078125
2019-11-16,06:04:59,000,7131.759765625,10983.9296875
2019-11-16,06:05:00,000,7115.43017578125,10963.4697265625
2019-11-16,06:05:01,000,7132.759765625,10952.6396484375
2019-11-16,06:05:02,000,7164.58984375,10972.8203125
2019-11-16,06:05:03,000,7151.759765625,11001.080078125
2019-11-16,06:05:04,000,7145.93994140625,10989.6396484375
2019-11-16,06:05:05,000,7144.52978515625,10984.58984375
2019-11-16,06:05:06,000,7159.81005859375,10986.7197265625
2019-11-16,06:05:07,000,7140.009765625,10999.259765625
2019-11-16,06:05:08,000,7115.009765625,10979.150390625
2019-11-16,06:05:09,000,7133.6201171875,10957.900390625
2019-11-16,06:05:10,000,7143.919921875,10974.4404296875
2019-11-16,06:05:11,000,7163.009765625,10984.0302734375
2019-11-16,06:05:12,000,7113.64990234375,10993.41015625
2019-11-16,06:05:13,000,7129.990234375,10947.1396484375
2019-11-16,06:05:14,000,7125.7001953125,10957.26953125
2019-11-16,06:05:15,000,7156.02978515625,10954.16015625
2019-11-16,06:05:16,000,7115.31005859375,10975.240234375
2019-11-16,06:05:17,000,7131.85009765625,10939.3203125
2019-11-16,06:05:18,000,7179.39013671875,10958.099609375
2019-11-16,06:05:19,000,7189.919921875,11002.25
2019-11-16,06:05:20,000,7200.2998046875,11015.2802734375
2019-11-16,06:05:21,000,7198.39990234375,11027.3896484375
2019-11-16,06:05:22,000,7236.81005859375,11032.509765625
2019-11-16,06:05:23,000,7234.39990234375,11067.75
2019-11-16,06:05:24,000,7246.33984375,11067.7099609375
2019-11-16,06:05:25,000,7215.16015625,11076.16015625
2019-11-16,06:05:26,000,7244.60009765625,11051.4599609375
2019-11-16,06:05:27,000,7255.740234375,11077.6298828125
2019-11-16,06:05:28,000,7234.5,11084
2019-11-16,06:05:29,000,7216.64990234375,11062.8603515625
2019-11-16,06:05:30,000,7201.35009765625,11044.7802734375
2019-11-16,06:05:31,000,7204.8701171875,11030.25
2019-11-16,06:05:32,000,7202.64990234375,11032.0703125
2019-11-16,06:05:33,000,7188.43994140625,11028.509765625
2019-11-16,06:05:34,000,7177.47998046875,11014.83984375
2019-11-16,06:05:35,000,7181.31005859375,11006.7099609375
2019-11-16,06:05:36,000,7184.6201171875,11012.0703125
2019-11-16,06:05:37,000,7154.6201171875,11013.490234375
2019-11-16,06:05:38,000,7152.02978515625,10986.6904296875
2019-11-16,06:05:39,000,7157.990234375,10984.9697265625
2019-11-16,06:05:40,000,7189.6298828125,10994.1103515625
2019-11-16,06:05:41,000,7173.72998046875,11019.5
2019-11-16,06:05:42,000,7167.60009765625,11002.330078125
2019-11-16,06:05:43,000,7158.22998046875,10995.16015625
2019-11-16,06:05:44,000,7164.33984375,10988.849609375
2019-11-16,06:05:45,000,7158.68994140625,10995.4296875
2019-11-16,06:05:46,000,7121.52978515625,10987.4296875
2019-11-16,06:05:47,000,7148.75,10957.6396484375
2019-11-16,06:05:48,000,7141.5400390625,10981.5703125
2019-11-16,06:05:49,000,7161.740234375,10975.25
2019-11-16,06:05:50,000,7127.02978515625,10986.25
2019-11-16,06:05:51,000,7165.7900390625,10956.0302734375
